fold,model,segment,mae,rmse,median_ae,r2,rmsle,wape,mean_error,negative_prediction_n
fold_1,huber_log_both_9,at_or_below_training_p90,89671.30408249176,147638.42659640434,60751.66693276551,0.2956495228116459,0.3014851054951789,0.20336840687249028,25965.65429027579,0
fold_1,lasso_log_both_9,above_training_p90,323104.5089052797,383880.95919558406,289907.8614972515,-0.7797944922442646,0.3789212332597288,0.2721608241928059,-231967.29362444105,0
fold_1,lasso_log_both_9,above_training_p99,1342877.76699534,1479800.3832568899,1403187.6863995357,-8.479774214885271,0.7391605160846819,0.4879769703827123,-1342877.76699534,0
fold_1,lasso_log_both_9,at_or_below_training_p90,102280.83334597925,164070.43230539717,77527.78167818958,0.1301374341751408,0.3266799495447447,0.23196595994664243,23830.49670195793,0
fold_1,ols_log_zip_9,above_training_p90,354139.36751529237,422261.982560834,324715.2777583529,-1.153479196864021,0.4340523912122236,0.2983024361641956,-251959.86420706593,0
fold_1,ols_log_zip_9,above_training_p99,1281594.3287860074,1364408.8392785517,1231118.5572512266,-7.0589928657286265,0.6588645792671718,0.4657077011707141,-1281594.3287860074,0
fold_1,ols_log_zip_9,at_or_below_training_p90,115974.3687547179,177216.5516680545,86236.77997607342,-0.014842298091664263,0.3552225678487367,0.26302196508698644,25239.477028272977,0
fold_1,ols_raw_zip_9,above_training_p90,310004.8224692204,378596.3678623125,280690.0040079423,-0.7311296793281366,0.3851391436147382,0.2611265570784761,-221035.99345965183,0
fold_1,ols_raw_zip_9,above_training_p99,1256739.882451407,1329028.4399111068,1150170.8937567752,-6.646457372000298,0.6279325635037546,0.4566760545674383,-1256739.882451407,0
fold_1,ols_raw_zip_9,at_or_below_training_p90,129061.95979124446,191247.0218187269,95409.48167019378,-0.1818962602528731,0.6292954603869483,0.2927037296841489,50239.91480643099,1
fold_1,random_forest_log_9,above_training_p90,341688.7559565378,405066.8027640584,336483.0908281768,-0.9816640007444646,0.40755708786748074,0.2878149046994815,-266863.1048222544,0
fold_1,random_forest_log_9,above_training_p99,1393448.3572787407,1486279.4379297174,1282752.2043113345,-8.56296710304325,0.7509138033593413,0.5063533885820949,-1393448.3572787407,0
fold_1,random_forest_log_9,at_or_below_training_p90,110221.47774942154,169804.66371141962,77968.33950138878,0.06827183297703421,0.34230679481034504,0.2499748003264303,28664.437195086583,0
fold_1,ridge_log_both_9,above_training_p90,315117.7926159281,378453.0514547335,283823.090083711,-0.7298193005228062,0.3743891220533777,0.26543336843779736,-219326.24057633654,0
fold_1,ridge_log_both_9,above_training_p99,1317193.2583316308,1450927.0003419777,1371304.0501435436,-8.11345068501972,0.720030708366139,0.47864369446473465,-1317193.2583316308,0
fold_1,ridge_log_both_9,at_or_below_training_p90,97802.70359786632,161118.61358497606,70718.12749384227,0.16115556242136353,0.31752790444347445,0.221809866846845,24163.62539607038,0
fold_1,ridge_log_both_full12,above_training_p90,300518.99444918614,369882.325607771,263317.428011527,-0.652356963387295,0.36084501269164065,0.2531363535965415,-188527.64064178898,0
fold_1,ridge_log_both_full12,above_training_p99,1291719.5138365447,1432514.5678608003,1317139.580813101,-7.883616807011153,0.7111410137879264,0.4693870063516917,-1291719.5138365447,0
fold_1,ridge_log_both_full12,at_or_below_training_p90,94858.20038329418,166743.37900708136,65104.19699836039,0.10156390208292676,0.3127496678684585,0.2151319342138191,24137.08790704163,0
fold_1,size_only_log,above_training_p90,444728.3579353362,514491.3001711393,393906.7530579641,-2.1969274947374573,0.5275304965077531,0.3746083174378644,-437663.51642354054,0
fold_1,size_only_log,above_training_p99,1683442.162549665,1735152.9331642638,1606280.6673465017,-12.033685583763381,0.9521607938689257,0.6117317796790642,-1683442.162549665,0
fold_1,size_only_log,at_or_below_training_p90,125885.10983719437,160385.47502359972,102818.20774943096,0.1687721871778114,0.38279790459759744,0.2854988504796068,19249.562325582774,0
fold_1,size_only_raw,above_training_p90,374705.30188909057,446833.23819181556,330871.04986184975,-1.411391124727221,0.44344900126239944,0.3156257525995876,-343326.9166773582,0
fold_1,size_only_raw,above_training_p99,1496365.2361821646,1551688.3064401825,1413113.4457451373,-9.423191028779145,0.7972164456326416,0.5437514809497315,-1496365.2361821646,0
fold_1,size_only_raw,at_or_below_training_p90,137407.74282565617,180597.34348237608,112300.4934695434,-0.05393229415027356,0.4073092562343458,0.31163139687019076,55727.92021174814,0
fold_2,dummy_mean,above_training_p90,652734.1183410706,705379.8877222,560152.1589207808,-5.958993649342,0.7972490165041531,0.5473285195915276,-652734.1183410706,0
fold_2,dummy_mean,above_training_p99,2583866.206063638,3055195.8741409085,2020650.4889207808,-2.5119349616730022,1.708098916276319,0.8271775735768779,-2583866.206063638,0
fold_2,dummy_mean,at_or_below_training_p90,162571.45169181563,193584.96306457304,149847.84107921924,-0.17163016535301034,0.47892836604537836,0.3490488941266336,74092.31390990708,0
fold_2,dummy_median,above_training_p90,732581.9594202898,779855.9379940375,640000.0,-7.5060721388688805,0.952786213882792,0.6142822752210637,-732581.9594202898,0
fold_2,dummy_median,above_training_p99,2663714.0471428568,3123016.1356413313,2100498.33,-2.6695837416305217,1.8643542934452493,0.852739401540053,-2663714.0471428568,0
